UID;ProductID;ProductNameGFLI;ProductNameAlias;Location;Climate change;Ozone depletion;Ionising radiation;Photochemical ozone formation;Particulate matter;Human toxicity, non-cancer;Human toxicity, cancer;Acidification;Eutrophication, freshwater;Eutrophication, marine;Eutrophication, terrestrial;Ecotoxicity, freshwater;Land use;Water use;Resource use, fossils;Resource use, minerals and metals
1.2.1-THA.1;1.2.1-THA;Maize, at farm/TH Economic S;Maize,THA;TH;0.356175335;2.60726E-08;0.009571867;0.001624088;7.21701E-08;2.98905E-08;4.55836E-10;0.010401877;0.000315462;0.006540209;0.046039888;185.0324972;282.5612726;0.026723684;2.560138418;3.22087E-06
2.18.3-BRA.1;2.18.3-BRA;Soybean meal, from crushing (solvent), at plant/BR Economic S;Soybean meal,BRA;BR;4.257677629;6.08588E-08;0.022755003;0.003095452;4.54184E-08;6.76299E-08;1.21668E-09;0.006216014;0.001194137;0.005716293;0.025576696;159.7290876;344.8329567;0.050336929;5.570252755;6.17159E-06
1.6.13-CHN.1;1.6.13-CHN;Crude rice bran oil, from rice bran oil production, at plant/CN Economic S;Crude rice bran oil,CHN;CN;1.148418864;4.12816E-08;0.017389194;0.004059522;8.08387E-08;5.67825E-08;4.22357E-10;0.010460847;0.000337578;0.00342649;0.043446011;366.1023813;42.99721618;2.733666237;6.024772539;2.93981E-06
1.6.10-CHN.1;1.6.10-CHN;Rice bran, from dry milling, at plant/CN Economic S;Rice bran,CHN;CN;0.420789563;1.45482E-08;0.006439553;0.001212742;3.05698E-08;2.25591E-08;1.61018E-10;0.004064006;0.000131133;0.001350693;0.017195039;147.1323587;17.3109139;1.101778514;1.909751063;1.10065E-06
1.11.1-ARG.1;1.11.1-ARG;Wheat grain, dried, at farm/AR Economic S;Wheat grain,ARG;AR;0.380800983;2.67894E-08;0.012500564;0.001639374;5.58626E-08;3.85291E-08;5.72159E-10;0.00812144;0.000465064;0.001666743;0.035555059;78.41487493;158.0632669;0.108700904;2.672574125;3.55153E-06
2.14.3-CZE.1;2.14.3-CZE;Rapeseed meal, from crushing (solvent), at plant/CZ Economic S;Rapeseed meal,CZE;CZ;0.374975939;2.22618E-08;0.012714128;0.001632169;4.92988E-08;2.34894E-08;3.38053E-10;0.008552496;0.000215403;0.005143156;0.028151541;32.68182868;105.4669391;0.018851017;2.505898853;1.74638E-06
1.11.1-ROU.1;1.11.1-ROU;Wheat grain, dried, at farm/RO Economic S;Wheat grain,ROU;RO;0.331630833;2.90239E-08;0.013368289;0.001625255;3.9532E-08;1.98052E-08;2.42209E-10;0.001964065;0.000156645;0.002209383;0.012537035;18.57044907;119.817338;0.188265313;2.458130554;1.75589E-06
1.11.1-DEU.1;1.11.1-DEU;Wheat grain, dried, at farm/DE Economic S;Wheat grain,DEU;DE;0.426325414;1.97313E-08;0.007355826;0.001474776;5.80717E-08;3.84264E-08;2.76972E-10;0.010927182;0.000226485;0.006549745;0.037914014;138.8660195;77.4453;0.014599489;1.939212906;1.60948E-06
1.2.1-THA.2;1.2.1-THA;Maize, at farm/TH Economic S;Maize,THA;TH;0.356175335;2.60726E-08;0.009571867;0.001624088;7.21701E-08;2.98905E-08;4.55836E-10;0.010401877;0.000315462;0.006540209;0.046039888;185.0324972;282.5612726;0.026723684;2.560138418;3.22087E-06
2.18.3-BRA.2;2.18.3-BRA;Soybean meal, from crushing (solvent), at plant/BR Economic S;Soybean meal,BRA;BR;4.257677629;6.08588E-08;0.022755003;0.003095452;4.54184E-08;6.76299E-08;1.21668E-09;0.006216014;0.001194137;0.005716293;0.025576696;159.7290876;344.8329567;0.050336929;5.570252755;6.17159E-06
1.6.13-CHN.2;1.6.13-CHN;Crude rice bran oil, from rice bran oil production, at plant/CN Economic S;Crude rice bran oil,CHN;CN;1.148418864;4.12816E-08;0.017389194;0.004059522;8.08387E-08;5.67825E-08;4.22357E-10;0.010460847;0.000337578;0.00342649;0.043446011;366.1023813;42.99721618;2.733666237;6.024772539;2.93981E-06
1.6.10-CHN.2;1.6.10-CHN;Rice bran, from dry milling, at plant/CN Economic S;Rice bran,CHN;CN;0.420789563;1.45482E-08;0.006439553;0.001212742;3.05698E-08;2.25591E-08;1.61018E-10;0.004064006;0.000131133;0.001350693;0.017195039;147.1323587;17.3109139;1.101778514;1.909751063;1.10065E-06
1.11.1-ARG.2;1.11.1-ARG;Wheat grain, dried, at farm/AR Economic S;Wheat grain,ARG;AR;0.380800983;2.67894E-08;0.012500564;0.001639374;5.58626E-08;3.85291E-08;5.72159E-10;0.00812144;0.000465064;0.001666743;0.035555059;78.41487493;158.0632669;0.108700904;2.672574125;3.55153E-06
2.14.3-CZE.2;2.14.3-CZE;Rapeseed meal, from crushing (solvent), at plant/CZ Economic S;Rapeseed meal,CZE;CZ;0.374975939;2.22618E-08;0.012714128;0.001632169;4.92988E-08;2.34894E-08;3.38053E-10;0.008552496;0.000215403;0.005143156;0.028151541;32.68182868;105.4669391;0.018851017;2.505898853;1.74638E-06
1.11.1-ROU.2;1.11.1-ROU;Wheat grain, dried, at farm/RO Economic S;Wheat grain,ROU;RO;0.331630833;2.90239E-08;0.013368289;0.001625255;3.9532E-08;1.98052E-08;2.42209E-10;0.001964065;0.000156645;0.002209383;0.012537035;18.57044907;119.817338;0.188265313;2.458130554;1.75589E-06
1.11.1-DEU.2;1.11.1-DEU;Wheat grain, dried, at farm/DE Economic S;Wheat grain,DEU;DE;0.426325414;1.97313E-08;0.007355826;0.001474776;5.80717E-08;3.84264E-08;2.76972E-10;0.010927182;0.000226485;0.006549745;0.037914014;138.8660195;77.4453;0.014599489;1.939212906;1.60948E-06
1.2.1-THA.3;1.2.1-THA;Maize, at farm/TH Economic S;Maize,THA;TH;0.356175335;2.60726E-08;0.009571867;0.001624088;7.21701E-08;2.98905E-08;4.55836E-10;0.010401877;0.000315462;0.006540209;0.046039888;185.0324972;282.5612726;0.026723684;2.560138418;3.22087E-06
2.18.3-BRA.3;2.18.3-BRA;Soybean meal, from crushing (solvent), at plant/BR Economic S;Soybean meal,BRA;BR;4.257677629;6.08588E-08;0.022755003;0.003095452;4.54184E-08;6.76299E-08;1.21668E-09;0.006216014;0.001194137;0.005716293;0.025576696;159.7290876;344.8329567;0.050336929;5.570252755;6.17159E-06
1.6.13-CHN.3;1.6.13-CHN;Crude rice bran oil, from rice bran oil production, at plant/CN Economic S;Crude rice bran oil,CHN;CN;1.148418864;4.12816E-08;0.017389194;0.004059522;8.08387E-08;5.67825E-08;4.22357E-10;0.010460847;0.000337578;0.00342649;0.043446011;366.1023813;42.99721618;2.733666237;6.024772539;2.93981E-06
1.6.10-CHN.3;1.6.10-CHN;Rice bran, from dry milling, at plant/CN Economic S;Rice bran,CHN;CN;0.420789563;1.45482E-08;0.006439553;0.001212742;3.05698E-08;2.25591E-08;1.61018E-10;0.004064006;0.000131133;0.001350693;0.017195039;147.1323587;17.3109139;1.101778514;1.909751063;1.10065E-06
1.11.1-ARG.3;1.11.1-ARG;Wheat grain, dried, at farm/AR Economic S;Wheat grain,ARG;AR;0.380800983;2.67894E-08;0.012500564;0.001639374;5.58626E-08;3.85291E-08;5.72159E-10;0.00812144;0.000465064;0.001666743;0.035555059;78.41487493;158.0632669;0.108700904;2.672574125;3.55153E-06
2.14.3-CZE.3;2.14.3-CZE;Rapeseed meal, from crushing (solvent), at plant/CZ Economic S;Rapeseed meal,CZE;CZ;0.374975939;2.22618E-08;0.012714128;0.001632169;4.92988E-08;2.34894E-08;3.38053E-10;0.008552496;0.000215403;0.005143156;0.028151541;32.68182868;105.4669391;0.018851017;2.505898853;1.74638E-06
1.11.1-ROU.3;1.11.1-ROU;Wheat grain, dried, at farm/RO Economic S;Wheat grain,ROU;RO;0.331630833;2.90239E-08;0.013368289;0.001625255;3.9532E-08;1.98052E-08;2.42209E-10;0.001964065;0.000156645;0.002209383;0.012537035;18.57044907;119.817338;0.188265313;2.458130554;1.75589E-06
1.11.1-DEU.3;1.11.1-DEU;Wheat grain, dried, at farm/DE Economic S;Wheat grain,DEU;DE;0.426325414;1.97313E-08;0.007355826;0.001474776;5.80717E-08;3.84264E-08;2.76972E-10;0.010927182;0.000226485;0.006549745;0.037914014;138.8660195;77.4453;0.014599489;1.939212906;1.60948E-06
